video_id,title,creator_id,creator_name,category,duration,upload_date,thumbnail_url,notes
j9Qm6_lEdcQ,Dakota Johnson Is Not Okay While Eating Spicy Wings | Hot Ones,UCPD_bxCRGpmmeQcbe2kpPaA,First We Feast,interview,1206,2025-06-12,https://i.ytimg.com/vi/j9Qm6_lEdcQ/maxresdefault.jpg,
5DDB_DNWGYE,KPop Demon Hunters | Hot Ones Versus,UCPD_bxCRGpmmeQcbe2kpPaA,First We Feast,interview,923,2026-02-24,https://i.ytimg.com/vi/5DDB_DNWGYE/maxresdefault.jpg,
d5uhih_I7Jw,Madison Beer Lives Out Her Dream While Eating Spicy Wings | Hot Ones,UCPD_bxCRGpmmeQcbe2kpPaA,First We Feast,interview,1434,2026-02-12,https://i.ytimg.com/vi/d5uhih_I7Jw/maxresdefault.jpg,
Ed9OqOQAfBs,Lessons from $80M CEO on Building a Strong Personal Brand,UC-b3c7kxa5vU-bnmaROgvog,The Futur,interview,4963,2024-09-01,https://i.ytimg.com/vi_webp/Ed9OqOQAfBs/maxresdefault.webp,
sO4te2QNsHY,What Is Branding? 4 Minute Crash Course.,UC-b3c7kxa5vU-bnmaROgvog,The Futur,interview,229,2019-12-31,https://i.ytimg.com/vi_webp/sO4te2QNsHY/maxresdefault.webp,
y7rvDA3MARk,We interviewed the Mozart of Gen Z,UCamLstJyCa-t5gfZegxsFMw,Colin and Samir,interview,8867,2024-03-04,https://i.ytimg.com/vi_webp/y7rvDA3MARk/maxresdefault.webp,
d18ud-4epP8,Why the Biggest YouTube Family Just Went to Netflix: Jordan Matter,UCamLstJyCa-t5gfZegxsFMw,Colin and Samir,interview,2317,2026-02-04,https://i.ytimg.com/vi_webp/d18ud-4epP8/maxresdefault.webp,
BFU1OCkhBwo,AI Expert: Here Is What The World Looks Like In 2 Years! Tristan Harris,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,interview,8540,2025-11-27,https://i.ytimg.com/vi_webp/BFU1OCkhBwo/maxresdefault.webp,
fpETS6q1Hww,Daniel Priestley: AI Will Make Plumbers Earn More Than Lawyers! (2029 PREDICTION),UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,interview,7356,2026-03-16,https://i.ytimg.com/vi_webp/fpETS6q1Hww/maxresdefault.webp,
Xm_PHZXGe-w,They're Lying About 'Healthy' Foods & Sugar! Shocking New Research That's Harming You,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,interview,5734,2026-02-26,https://i.ytimg.com/vi_webp/Xm_PHZXGe-w/maxresdefault.webp,
WcHWQnoE95w,Why You Don’t Trust Tap Water,UCmGSJVG3mCRXVOP4yZrU1Dw,Johnny Harris,commentary,1594,2025-08-01,https://i.ytimg.com/vi_webp/WcHWQnoE95w/maxresdefault.webp,
WYQxG4KEzvo,The Problem With Elon Musk,UCmGSJVG3mCRXVOP4yZrU1Dw,Johnny Harris,commentary,2566,2024-07-12,https://i.ytimg.com/vi_webp/WYQxG4KEzvo/maxresdefault.webp,
jITKnb0tYaM,How to legislate AI,UCmGSJVG3mCRXVOP4yZrU1Dw,Johnny Harris,commentary,1542,2024-11-27,https://i.ytimg.com/vi_webp/jITKnb0tYaM/maxresdefault.webp,
_Ux13UEqIYo,Yikes.,UC4QZ_LsYcvcq7qOsOhpAX4A,ColdFusion,commentary,1012,2026-03-09,https://i.ytimg.com/vi_webp/_Ux13UEqIYo/maxresdefault.webp,
shB7wRZ2h5Y,Are We Really Ready for AI Coding?,UC4QZ_LsYcvcq7qOsOhpAX4A,ColdFusion,commentary,1315,2025-11-07,https://i.ytimg.com/vi_webp/shB7wRZ2h5Y/maxresdefault.webp,
ntPGl8UyIq4,The Metaverse Only Has 900 Users,UC4QZ_LsYcvcq7qOsOhpAX4A,ColdFusion,commentary,834,2025-12-03,https://i.ytimg.com/vi_webp/ntPGl8UyIq4/maxresdefault.webp,
TBDWomgRgWU,How smooth jazz took over the ‘90s,UCLXo7UDZvByw2ixzpQCufnA,Vox,creative,785,2018-12-03,https://i.ytimg.com/vi_webp/TBDWomgRgWU/sddefault.webp,
8A1Aj1_EF9Y,The sound that connects Stravinsky to Bruno Mars,UCLXo7UDZvByw2ixzpQCufnA,Vox,creative,565,2018-05-15,https://i.ytimg.com/vi_webp/8A1Aj1_EF9Y/maxresdefault.webp,
QpKypvDjiPM,Why more pop songs should end with a fade out,UCLXo7UDZvByw2ixzpQCufnA,Vox,creative,461,2017-09-01,https://i.ytimg.com/vi_webp/QpKypvDjiPM/maxresdefault.webp,
j4KlMiMgVLM,"30 years fine-tuning micro-homestead oasis: nothing missing, little extra",UCDsElQQt_gCZ9LgnW-7v-cQ,Kirsten Dirksen,creative,1870,2026-03-15,https://i.ytimg.com/vi/j4KlMiMgVLM/maxresdefault.jpg,
dG2b_Klf5R4,Couple’s traditional underground home hides in magical Nordic forest,UCDsElQQt_gCZ9LgnW-7v-cQ,Kirsten Dirksen,creative,2779,2025-10-26,https://i.ytimg.com/vi/dG2b_Klf5R4/maxresdefault.jpg,
LPUMrjwJgGs,"Nordic homestead near Russian border: couple's no-bank, no-phone life",UCDsElQQt_gCZ9LgnW-7v-cQ,Kirsten Dirksen,creative,1837,2026-03-08,https://i.ytimg.com/vi/LPUMrjwJgGs/maxresdefault.jpg,
wjZofJX0v4M,"Transformers, the tech behind LLMs | Deep Learning Chapter 5",UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown,educational,1634,2024-04-01,https://i.ytimg.com/vi_webp/wjZofJX0v4M/maxresdefault.webp,
IQqtsm-bBRU,This open problem taught me what topology is,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown,educational,1645,2024-12-24,https://i.ytimg.com/vi/IQqtsm-bBRU/maxresdefault.jpg,
BHdbsHFs2P0,The Hairy Ball Theorem,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown,educational,1779,2026-01-31,https://i.ytimg.com/vi/BHdbsHFs2P0/maxresdefault.jpg,
RRHU-fvsNo0,5 Rules That Will Change Your Life Immediately,UCk2U-Oqn7RXf-ydPqfSxG5g,Mel Robbins,interview,2802,2025-12-11,https://i.ytimg.com/vi_webp/RRHU-fvsNo0/maxresdefault.webp,
AjwaE0WozfE,"Do THIS to Boost Your Metabolism, Lose Fat, & Feel Better Now With Dr. William Li",UCk2U-Oqn7RXf-ydPqfSxG5g,Mel Robbins,interview,2792,2025-08-21,https://i.ytimg.com/vi_webp/AjwaE0WozfE/maxresdefault.webp,
XhBp6GZzH6k,How To Handle Difficult People & Take Back Your Peace and Power,UCk2U-Oqn7RXf-ydPqfSxG5g,Mel Robbins,interview,3059,2025-02-27,https://i.ytimg.com/vi/XhBp6GZzH6k/maxresdefault.jpg,
LB01v___wO4,BTS: The ARIRANG Interview with Zane Lowe | Apple Music,UCBv7HEHuVlNAELGi5XJd85Q,Apple Music,creative,2884,2026-03-20,https://i.ytimg.com/vi_webp/LB01v___wO4/maxresdefault.webp,
jV_RuCyRCjs,"Olivia Dean: On Recent Success, The Art of Loving, and Being Vulnerable | Zane Lowe Interview",UCBv7HEHuVlNAELGi5XJd85Q,Apple Music,creative,2014,2025-11-14,https://i.ytimg.com/vi/jV_RuCyRCjs/maxresdefault.jpg,
